LOCATION,TIME,Value
PRT,2007-05,9.7
PRT,2007-06,9.6
PRT,2007-07,9.7
PRT,2007-08,9.6
PRT,2007-09,9.4
PRT,2007-10,9.4
PRT,2007-11,9.3
PRT,2007-12,9.2
PRT,2008-01,9
PRT,2008-02,8.9
PRT,2008-03,9
PRT,2008-04,9
PRT,2008-05,9.1
PRT,2008-06,9.3
PRT,2008-07,9.2
PRT,2008-08,9.4
PRT,2008-09,9.4
PRT,2008-10,9.3
PRT,2008-11,9.4
PRT,2008-12,9.8
PRT,2009-01,10
PRT,2009-02,10.3
PRT,2009-03,10.6
PRT,2009-04,10.8
PRT,2009-05,11
PRT,2009-06,11.3
PRT,2009-07,11.5
PRT,2009-08,11.7
PRT,2009-09,11.8
PRT,2009-10,11.8
PRT,2009-11,11.8
PRT,2009-12,11.9
PRT,2010-01,11.9
PRT,2010-02,12.1
PRT,2010-03,12.2
PRT,2010-04,12.5
PRT,2010-05,12.7
PRT,2010-06,12.9
PRT,2010-07,12.9
PRT,2010-08,12.9
PRT,2010-09,12.8
PRT,2010-10,12.6
PRT,2010-11,12.8
PRT,2010-12,12.8
PRT,2011-01,12.8
PRT,2011-02,12.9
PRT,2011-03,13.1
PRT,2011-04,13
PRT,2011-05,13.1
PRT,2011-06,13
PRT,2011-07,13
PRT,2011-08,13.4
PRT,2011-09,13.9
PRT,2011-10,14.1
PRT,2011-11,14.6
PRT,2011-12,15.1
PRT,2012-01,15.1
PRT,2012-02,15.5
PRT,2012-03,15.9
PRT,2012-04,16.2
PRT,2012-05,16.2
PRT,2012-06,16.2
PRT,2012-07,16.4
PRT,2012-08,16.9
PRT,2012-09,17
PRT,2012-10,17.5
PRT,2012-11,17.8
PRT,2012-12,18.2
PRT,2013-01,18.3
PRT,2013-02,18.2
PRT,2013-03,18.1
PRT,2013-04,17.9
PRT,2013-05,17.7
PRT,2013-06,17.4
PRT,2013-07,17.3
PRT,2013-08,16.6
PRT,2013-09,16.3
PRT,2013-10,16.2
PRT,2013-11,16.1
PRT,2013-12,15.7
PRT,2014-01,15.5
PRT,2014-02,15.5
PRT,2014-03,15.4
PRT,2014-04,15.2
PRT,2014-05,14.9
PRT,2014-06,14.9
PRT,2014-07,14.6
PRT,2014-08,14
PRT,2014-09,13.8
PRT,2014-10,14
PRT,2014-11,13.9
PRT,2014-12,14
PRT,2015-01,14.1
PRT,2015-02,14
PRT,2015-03,13.6
PRT,2015-04,13.2
PRT,2015-05,12.7
PRT,2015-06,12.6
PRT,2015-07,12.6
PRT,2015-08,12.6
PRT,2015-09,12.8
PRT,2015-10,12.7
PRT,2015-11,12.6
PRT,2015-12,12.5
PRT,2016-01,12.4
PRT,2016-02,12.5
PRT,2016-03,12.3
PRT,2016-04,11.9
PRT,2016-05,11.5
PRT,2016-06,11.4
PRT,2016-07,11.2
PRT,2016-08,11.2
PRT,2016-09,11.1
PRT,2016-10,10.9
PRT,2016-11,10.7
PRT,2016-12,10.4
PRT,2017-01,10.3
PRT,2017-02,10.1
PRT,2017-03,10
PRT,2017-04,9.8
PRT,2017-05,9.4
PRT,2017-06,9.4
PRT,2017-07,9.1
PRT,2017-08,8.9
PRT,2017-09,8.7
PRT,2017-10,8.6
PRT,2017-11,8.2
PRT,2017-12,8.1
PRT,2018-01,8
PRT,2018-02,7.8
PRT,2018-03,7.6
PRT,2018-04,7.3
PRT,2018-05,7.2
PRT,2018-06,7.1
PRT,2018-07,7
PRT,2018-08,7.1
PRT,2018-09,6.7
PRT,2018-10,6.7
PRT,2018-11,6.8
PRT,2018-12,6.8
PRT,2019-01,6.7
PRT,2019-02,6.7
PRT,2019-03,6.6
PRT,2019-04,6.7
PRT,2019-05,6.7
PRT,2019-06,6.7
PRT,2019-07,6.6
PRT,2019-08,6.5
PRT,2019-09,6.6
PRT,2019-10,6.6
PRT,2019-11,6.8
PRT,2019-12,6.9
PRT,2020-01,6.9
PRT,2020-02,6.6
PRT,2020-03,6.3
PRT,2020-04,6.4
PRT,2020-05,6
PRT,2020-06,7.5
PRT,2020-07,8.1
PRT,2020-08,8.2
PRT,2020-09,8
PRT,2020-10,7.6
PRT,2020-11,7.2
PRT,2020-12,6.9
PRT,2021-01,7
PRT,2021-02,6.9
PRT,2021-03,6.7
PRT,2021-04,7
PRT,2021-05,7
PRT,2021-06,6.8
PRT,2021-07,6.6
PRT,2021-08,6.3
PRT,2021-09,6.3
PRT,2021-10,6.3
PRT,2021-11,6.2
PRT,2021-12,5.8
PRT,2022-01,5.8
PRT,2022-02,5.7
PRT,2022-03,5.8
PRT,2022-04,5.9
PRT,2022-05,6
PRT,2022-06,6
PRT,2022-07,6
PRT,2022-08,6
PRT,2022-09,6.1
